evidence_id,person,role_period,category,indicator,metric_value,metric_unit,metric_year,geography,claim_summary,source_id,evidence_type,confidence,attribution_note,title,organization,url,reliability_tier,evidence_score,source_available,data_quality_flag
EV001,Prof. Isa Ali Ibrahim Pantami,Minister of Communications and Digital Economy 2019-2023,Economy,ICT sector GDP contribution,14.42,percent_of_gdp,2021,Nigeria,NCC-linked statement reported ICT contribution to GDP at 14.42 percent in Q2 2021.,SRC003,quantitative,0.88,Attribution is sector-level under ministry/regulatory ecosystem; not sole-person causation.,Nigeria's Active Internet Subscribers Hit 140m - NCC,Nigerian Investment Promotion Commission / NCC statement,https://www.nipc.gov.ng/2021/12/06/nigerias-active-internet-subscribers-hit-140m-ncc/,official,84.8,True,source_backed_quantitative
EV002,Prof. Isa Ali Ibrahim Pantami,Minister of Communications and Digital Economy 2019-2023,Infrastructure,Broadband penetration,40.01,percent,2021,Nigeria,NCC-linked statement reported broadband penetration at 40.01 percent by September 2021.,SRC003,quantitative,0.88,"National telecom outcome; influenced by operators, regulator, market, and policy.",Nigeria's Active Internet Subscribers Hit 140m - NCC,Nigerian Investment Promotion Commission / NCC statement,https://www.nipc.gov.ng/2021/12/06/nigerias-active-internet-subscribers-hit-140m-ncc/,official,84.8,True,source_backed_quantitative
EV003,Prof. Isa Ali Ibrahim Pantami,Minister of Communications and Digital Economy 2019-2023,Infrastructure,Broadband access,80.0,million_people,2021,Nigeria,Public report stated 80 million Nigerians had broadband access by December 2021.,SRC011,policy_target_context,0.65,Use as context unless verified against NCC statistical tables.,Nigerian National Broadband Plan 2020-2025,Federal Ministry of Communications and Digital Economy,https://fmcide.gov.ng/wp-content/uploads/2023/11/Nigerian-National-Broadband-Plan-2020-2025.pdf,official,54.2,True,source_backed_contextual
EV004,Prof. Isa Ali Ibrahim Pantami,Minister of Communications and Digital Economy 2019-2023,Youth Empowerment,Digital skills beneficiaries,219000.0,people,2021,Nigeria,USPF ministry-achievements page reported more than 219000 direct digital skills beneficiaries.,SRC001,quantitative,0.78,Government achievement statement; requires project-level validation for beneficiary audit.,Some Major Achievements of the Buhari Administration Under the Federal Minister of Communications & Digital Economy from August 2019 to July 2021,Universal Service Provision Fund,https://uspf.gov.ng/media-centre/news/101-news-achievements-pantami,official,76.3,True,source_backed_quantitative
EV005,Prof. Isa Ali Ibrahim Pantami,Minister of Communications and Digital Economy 2019-2023,Infrastructure,ICT centres established,1667.0,centres,2021,Nigeria,USPF ministry-achievements page reported 1667 projects/centres established and 455 ongoing.,SRC001,quantitative,0.78,Government achievement statement; centre-level coordinates not included in source page.,Some Major Achievements of the Buhari Administration Under the Federal Minister of Communications & Digital Economy from August 2019 to July 2021,Universal Service Provision Fund,https://uspf.gov.ng/media-centre/news/101-news-achievements-pantami,official,76.3,True,source_backed_quantitative
EV006,Prof. Isa Ali Ibrahim Pantami,Minister of Communications and Digital Economy 2019-2023,Transparency,National identity enrolment,61.0,million_unique_enrolments,2021,Nigeria,USPF ministry-achievements page reported more than 61 million unique NIN enrolments.,SRC001,quantitative,0.76,National identity programme involved NIMC and multiple institutions.,Some Major Achievements of the Buhari Administration Under the Federal Minister of Communications & Digital Economy from August 2019 to July 2021,Universal Service Provision Fund,https://uspf.gov.ng/media-centre/news/101-news-achievements-pantami,official,74.6,True,source_backed_quantitative
EV007,Prof. Isa Ali Ibrahim Pantami,NITDA DG 2016-2019 / Minister 2019-2023,Innovation,NITDA institutional development,,narrative,2021,Nigeria,NITDA article credited agency development and GDP relevance in the digital economy ecosystem.,SRC002,qualitative,0.68,Qualitative institutional context; not converted directly to a fabricated statistic.,NITDA at 20: NITDA's Achievements Contribute to Nation's GDP - Dr. Pantami,National Information Technology Development Agency,https://nitda.gov.ng/nitda-at-20-nitdas-achievements-contribute-to-nations-gdp-dr-pantami/4378/,official,37.4,True,source_backed_contextual
EV008,Prof. Isa Ali Ibrahim Pantami,Minister of Communications and Digital Economy 2019-2023,Crisis Handling,COVID-era digital economy continuity,,narrative,2020,Nigeria,ICT sector growth during the recession period was cited in official achievements materials.,SRC001,qualitative,0.66,"Macro outcome; crisis score uses evidence presence and verifiability, not causation claim.",Some Major Achievements of the Buhari Administration Under the Federal Minister of Communications & Digital Economy from August 2019 to July 2021,Universal Service Provision Fund,https://uspf.gov.ng/media-centre/news/101-news-achievements-pantami,official,36.3,True,source_backed_contextual
EV009,Prof. Isa Ali Ibrahim Pantami,Minister of Communications and Digital Economy 2019-2023,Public Utility Management,Utility-sector direct management,,not_applicable,2021,Nigeria,No direct electricity/water utility management role identified in the included public sources.,SRC001,insufficient_public_evidence,0.2,Excluded from positive score calculation except coverage penalty.,Some Major Achievements of the Buhari Administration Under the Federal Minister of Communications & Digital Economy from August 2019 to July 2021,Universal Service Provision Fund,https://uspf.gov.ng/media-centre/news/101-news-achievements-pantami,official,0.0,True,do_not_score_missing_data
EV010,Dr. Jamilu Isyaku Gwamna,KEDCO Managing Director / CEO,Public Utility Management,KEDCO franchise utility management,,narrative,2020,Kano Katsina Jigawa,Daily Trust interview described KEDCO service continuity and safety priorities during COVID-19.,SRC006,qualitative,0.7,Interview source; claims are attributed to the interview and should be validated against regulator data.,How we raised the bar on safe power supply at KEDCO - Dr Gwamna,Daily Trust,https://dailytrust.com/how-we-raised-the-bar-on-safe-power-supply-at-kedco-dr-gwamna/,media_interview,38.5,True,source_backed_contextual
EV011,Dr. Jamilu Isyaku Gwamna,KEDCO Managing Director / CEO,Crisis Handling,COVID-era electricity service continuity,,narrative,2020,Kano Katsina Jigawa,Interview stated KEDCO maintained public service delivery during COVID-19 and customers saw improved supply.,SRC006,qualitative,0.66,Self-reported in media interview; needs operational outage/supply-hour data for stronger scoring.,How we raised the bar on safe power supply at KEDCO - Dr Gwamna,Daily Trust,https://dailytrust.com/how-we-raised-the-bar-on-safe-power-supply-at-kedco-dr-gwamna/,media_interview,36.3,True,source_backed_contextual
EV012,Dr. Jamilu Isyaku Gwamna,KEDCO Managing Director / CEO,Infrastructure,Transformers and feeder construction,,project_activity,2022,Kano Katsina Jigawa,Blueprint reported inspection of new transformers/accessories and feeder construction to improve service delivery.,SRC008,project_report,0.68,Project activity reported in media; no independent completion audit in seed data.,Power: We're enhancing Kano DISCO's operations - KEDCO's CEO,Blueprint Newspapers,https://blueprint.ng/power-were-enhancing-kano-discos-operations-kedcos-ceo/,verified_journalism,46.24,True,source_backed_contextual
EV013,Dr. Jamilu Isyaku Gwamna,KEDCO Managing Director / CEO,Public Utility Management,Kano DisCo metering rate,22.52,percent,2022,Kano DisCo franchise,NERC Q2 2022 report listed Kano DisCo metering performance at 22.52 percent.,SRC004,quantitative,0.9,"Regulator data; entity-level metric, not solely attributable to one executive.",NERC Second Quarter 2022 Report,Nigerian Electricity Regulatory Commission,https://nerc.gov.ng/wp-content/uploads/2023/02/NERC%20Second%20Quarter%202022%20Report_070223.pdf,official,86.5,True,source_backed_quantitative
EV014,Dr. Jamilu Isyaku Gwamna,KEDCO Managing Director / CEO,Transparency,Customer complaints context,,narrative,2022,Nigeria,"NERC Q4 2022 reported metering, billing, and interruption were major complaint categories across DisCos.",SRC005,regulator_context,0.82,Industry-wide context; KEDCO-specific complaint counts should be added when extracted.,NERC Fourth Quarter 2022 Report,Nigerian Electricity Regulatory Commission,https://nerc.gov.ng/wp-content/uploads/2023/07/2022_Q4%20Report_Updated_310723.pdf,official,55.76,True,source_backed_contextual
EV015,Dr. Jamilu Isyaku Gwamna,KEDCO Managing Director / CEO,Economy,Electricity distribution economic contribution,,narrative,2022,Kano Katsina Jigawa,"KEDCO role supports regional commerce through distribution service, but seed data lacks audited economic impact figures.",SRC007,insufficient_public_evidence,0.35,Narrative only; excluded from quantitative economic impact score.,KEDCO made progress under my leadership - Dr Gwamna,Daily Trust,https://dailytrust.com/kedco-made-progress-under-my-leadership-dr-gwamna/,media_interview,0.0,True,do_not_score_missing_data
EV016,Dr. Jamilu Isyaku Gwamna,KEDCO Managing Director / CEO,Youth Empowerment,Staff training and retraining,,narrative,2022,Kano Katsina Jigawa,Daily Trust reported Gwamna statement that staff training and retraining were part of KEDCO transformation strategy.,SRC007,qualitative,0.56,Self-reported claim; no beneficiary counts in seed evidence.,KEDCO made progress under my leadership - Dr Gwamna,Daily Trust,https://dailytrust.com/kedco-made-progress-under-my-leadership-dr-gwamna/,media_interview,30.8,True,source_backed_contextual
EV017,Dr. Jamilu Isyaku Gwamna,KEDCO Managing Director / CEO,Innovation,Operational modernization,,narrative,2022,Kano Katsina Jigawa,Reported transformer/accessory procurement and feeder construction indicate operational improvement activity.,SRC008,project_report,0.58,Innovation score limited by absence of audited technology deployment metrics.,Power: We're enhancing Kano DISCO's operations - KEDCO's CEO,Blueprint Newspapers,https://blueprint.ng/power-were-enhancing-kano-discos-operations-kedcos-ceo/,verified_journalism,39.44,True,source_backed_contextual
EV018,Dr. Jamilu Isyaku Gwamna,KEDCO Managing Director / CEO,Transparency,Service delivery pledge,,narrative,2019,Kano Katsina Jigawa,TBI Africa reported a service-delivery pledge and staff commitment message by KEDCO MD.,SRC009,qualitative,0.5,Pledge is not an outcome; scored lightly unless paired with measured delivery data.,"KEDCO MD pledges effective service delivery, tasks staff on commitment",The Business Intelligence Africa,https://tbiafrica.com/2019/11/03/kedco-md-pledges-effective-service-delivery-tasks-staff-on-commitment/,verified_journalism,27.5,True,source_backed_contextual
EV019,Hon. Saidu Ahmed Alkali,Minister of Transportation 2023-present / Senator for Gombe North,Transparency,Official public profile and office history,,narrative,2024,Nigeria,"The Federal Ministry of Transportation profile records Alkali's background, Gombe State executive roles, senatorial service, and appointment as Minister of Transportation on 16 August 2023.",SRC013,qualitative,0.78,Office-history evidence; not a performance outcome by itself.,SAID AHMED ALKALI - Honourable Minister of Transportation,Federal Ministry of Transportation,https://transportation.gov.ng/team/honourable-minister-of-transportation/,official,42.9,True,source_backed_contextual
EV020,Hon. Saidu Ahmed Alkali,Minister of Transportation 2023-present,Transparency,Ministerial performance bond,,accountability_framework,2024,Nigeria,The ministry reported that Alkali signed a performance bond with directors and agency heads to cascade KPIs and annual appraisal for the transportation sector.,SRC014,project_report,0.82,Accountability mechanism evidence; implementation outcomes should be monitored over time.,"Transportation Minister Signs Performance Bond With Directors, CEOs, Expresses Readiness To Deliver On Ministerial Mandate",Federal Ministry of Transportation,https://transportation.gov.ng/transportation-minister-signs-performance-bond-with-directors-ceos-expresses-readiness-to-deliver-on-ministerial-mandate/,official,55.76,True,source_backed_contextual
EV021,Hon. Saidu Ahmed Alkali,Minister of Transportation 2023-present,Economy,Transport sector economic-enabler policy,,narrative,2024,Nigeria,"NITT reported Alkali's position that transport can sustain the economy, reduce unemployment, lower mobility costs, and reduce movement delays for goods and services.",SRC015,qualitative,0.72,Policy/economic rationale; not a measured GDP statistic.,Transport Sector Is A Strong Enabler Of The Economy - Hon Minister Of Transportation,Nigerian Institute of Transport Technology,https://nitt.gov.ng/2024/02/11/transport-sector-is-a-strong-enabler-of-the-economy-hon-minister-of-transportation/,official,39.6,True,source_backed_contextual
EV022,Hon. Saidu Ahmed Alkali,Minister of Transportation 2023-present,Infrastructure,Kano-Daura rail segment target,387.0,kilometres,2024,Kano Katsina Jigawa Niger corridor,The transportation ministry reported Alkali's inspection and assurance on the first 387km Kano-Daura segment of the Kano-Maradi rail project.,SRC016,project_report,0.86,Project target and inspection evidence; completion must be verified separately.,FG Rail Modernization Project: Transport Minister Assures On Completion Of The 387km Kano-Daura Rail Segment By 2025,Federal Ministry of Transportation,https://transportation.gov.ng/fg-rail-modernization-project-transport-minister-assures-on-completion-of-the-387km-kano-daura-rail-segment-by-2025/,official,68.48,True,source_backed_contextual
EV023,Hon. Saidu Ahmed Alkali,Minister of Transportation 2023-present,Infrastructure,Kano-Maradi and Kaduna-Kano rail inspection,,project_activity,2024,Northern Nigeria,"The ministry stated Alkali inspected Kano-Maradi and Kaduna-Kano rail works with engineers, consultants, and contractors for on-ground assessment.",SRC016,project_report,0.84,Inspection and project oversight evidence.,FG Rail Modernization Project: Transport Minister Assures On Completion Of The 387km Kano-Daura Rail Segment By 2025,Federal Ministry of Transportation,https://transportation.gov.ng/fg-rail-modernization-project-transport-minister-assures-on-completion-of-the-387km-kano-daura-rail-segment-by-2025/,official,57.12,True,source_backed_contextual
EV024,Hon. Saidu Ahmed Alkali,Minister of Transportation 2023-present,Economy,Lagos-Kano freight restoration plan,,project_activity,2024,Lagos-Kano corridor,The ministry reported plans to restore freight on the Lagos-Kano narrow gauge to support cargo movement to Kano's Dala Inland Dry Port.,SRC016,project_report,0.78,Economic logistics impact is plausible but should be measured through freight-volume data.,FG Rail Modernization Project: Transport Minister Assures On Completion Of The 387km Kano-Daura Rail Segment By 2025,Federal Ministry of Transportation,https://transportation.gov.ng/fg-rail-modernization-project-transport-minister-assures-on-completion-of-the-387km-kano-daura-rail-segment-by-2025/,official,53.04,True,source_backed_contextual
EV025,Hon. Saidu Ahmed Alkali,Minister of Transportation 2023-present,Innovation,National Land Transport Policy approval,,policy_milestone,2025,Nigeria,Federal information reporting stated that the first National Land Transport Policy had been validated by stakeholders and approved by the Federal Executive Council.,SRC017,project_report,0.86,Major policy milestone; full impact depends on implementation.,"Alkali, Transforming Nigeria's Transport Sector",Federal Ministry of Information and National Orientation,https://fmino.gov.ng/alkali-transforming-nigerias-transport-sector/,official,58.48,True,source_backed_contextual
EV026,Hon. Saidu Ahmed Alkali,Minister of Transportation 2023-present,Innovation,Smart mobility and logistics technology agenda,,policy_activity,2025,Nigeria,"Government information reporting linked Alkali's agenda to smart mobility, intelligent transport systems, blockchain-enabled logistics, NITT logistics-drone testing, and rail unbundling.",SRC017,project_report,0.78,Innovation agenda evidence; measurable deployment metrics should be added as they become available.,"Alkali, Transforming Nigeria's Transport Sector",Federal Ministry of Information and National Orientation,https://fmino.gov.ng/alkali-transforming-nigerias-transport-sector/,official,53.04,True,source_backed_contextual
EV027,Hon. Saidu Ahmed Alkali,Minister of Transportation 2023-present,Public Utility Management,Railway agency performance coordination,,accountability_framework,2024,Nigeria,"The performance bond included the Nigerian Railway Corporation and Nigerian Institute of Transport Technology among agencies aligning roles, KPIs, manpower, research, and rail development programmes.",SRC014,project_report,0.76,Public transport institutional management evidence; agency outcomes are multi-actor.,"Transportation Minister Signs Performance Bond With Directors, CEOs, Expresses Readiness To Deliver On Ministerial Mandate",Federal Ministry of Transportation,https://transportation.gov.ng/transportation-minister-signs-performance-bond-with-directors-ceos-expresses-readiness-to-deliver-on-ministerial-mandate/,official,51.68,True,source_backed_contextual
EV028,Hon. Saidu Ahmed Alkali,Minister of Transportation 2023-present,Crisis Handling,Railway project delay escalation,45.0,percent_completion,2023,Port Harcourt-Aba / Eastern corridor,Punch reported Alkali criticized the Port Harcourt-Maiduguri contractor after stating work around Port Harcourt-Aba was below expected pace and about 45-47 percent in the inspected section.,SRC020,regulator_context,0.72,Crisis/implementation response evidence; figure is from reported ministerial inspection comments.,"Port Harcourt-Maiduguri railway: Minister slams contractor, says project disappointing",Punch Newspapers,https://punchng.com/port-harcourt-maiduguri-railway-minister-slams-contractor-says-project-disappointing/,verified_journalism,58.96,True,source_backed_contextual
EV029,Hon. Saidu Ahmed Alkali,Minister of Transportation 2023-present,Transparency,Public response to railway diversion allegation,,public_response,2025,Nigeria,"Punch reported the ministry's denial of allegations that a $3bn railway project was diverted to Gombe, and its explanation of project sections and funding constraints.",SRC019,qualitative,0.66,Represents public controversy and official response; allegation is not treated as proven.,$3bn South-East railway project not diverted - Ministry,Punch Newspapers,https://punchng.com/3bn-south-east-railway-project-not-diverted-ministry/,verified_journalism,36.3,True,source_backed_contextual
EV030,Hon. Saidu Ahmed Alkali,Minister of Transportation 2023-present,Economy,Transport ministry capital budget release constraint,1.0,percent_capital_release,2025,Nigeria,"TheCable reported Alkali saying only about 1 percent of the ministry's 2025 capital budget was released, while 70 percent of projects rolled into 2026 due to funding constraints.",SRC018,quantitative,0.82,"Negative context/constraint, not a personal performance failure.",Saidu Alkali: Only N2.5bn out of N256.7bn 2025 budget was released to transport ministry,TheCable,https://www.thecable.ng/saidu-alkali-only-n2-5bn-out-of-n256-7bn-2025-budget-was-released-to-transport-ministry/,verified_journalism,79.7,True,source_backed_quantitative
EV031,Hon. Saidu Ahmed Alkali,Minister of Transportation 2023-present,Economy,Private-sector funding commitments,200.0,million_usd,2025,Nigeria,TheCable reported a legislative committee statement that the ministry secured private-sector funding commitments of about $200m despite limited capital releases.,SRC018,quantitative,0.72,Attributed to legislative committee comment in reported budget hearing.,Saidu Alkali: Only N2.5bn out of N256.7bn 2025 budget was released to transport ministry,TheCable,https://www.thecable.ng/saidu-alkali-only-n2-5bn-out-of-n256-7bn-2025-budget-was-released-to-transport-ministry/,verified_journalism,71.2,True,source_backed_quantitative
EV032,Hon. Saidu Ahmed Alkali,Minister of Transportation 2023-present,Infrastructure,Kaduna-Kano rail financing and port rail links,,project_activity,2024,Kaduna Kano Lagos port corridors,"Independent reported Alkali's statement that financing had been secured for Kaduna-Kano standard gauge and that Badagry, TinCan, Apapa, Lekki, Ijebu Ode and Kajola rail links were initiated.",SRC021,project_report,0.7,Media report; should be validated against financing agreements and project budgets.,"FG Secures Financing For Kaduna-Kano Rail Project, Initiates Badagry, TinCan, Apapa Rail Links",Independent Newspaper Nigeria,https://independent.ng/fg-secures-financing-for-kaduna-kano-rail-project-initiates-badagry-tincan-apapa-rail-links/,verified_journalism,47.6,True,source_backed_contextual
EV033,Hon. Saidu Ahmed Alkali,Minister of Transportation 2023-present,Youth Empowerment,Transport manpower and research mandate through NITT,,capacity_building,2024,Nigeria,"The ministry reported NITT commitments under the performance bond to provide required manpower, innovation, and transport-sector research.",SRC014,project_report,0.68,Institutional capacity-building evidence; no beneficiary count in seed data.,"Transportation Minister Signs Performance Bond With Directors, CEOs, Expresses Readiness To Deliver On Ministerial Mandate",Federal Ministry of Transportation,https://transportation.gov.ng/transportation-minister-signs-performance-bond-with-directors-ceos-expresses-readiness-to-deliver-on-ministerial-mandate/,official,46.24,True,source_backed_contextual
EV034,Hon. Saidu Ahmed Alkali,Senator / public official,Public Utility Management,FERMA oversight context,,narrative,2021,Nigeria,A public legislative guide includes Senate committee references involving FERMA and Alkali; direct FERMA agency executive leadership was not verified in the seed public evidence.,SRC022,insufficient_public_evidence,0.3,Kept as a research flag because direct FERMA leadership should not be asserted without stronger official source.,Legislative Internship Guide 2021,Policy and Legal Advocacy Centre,https://placng.org/i/wp-content/uploads/2022/04/Legislative-Internship-Guide-2021.pdf,secondary_context,0.0,True,do_not_score_missing_data
